ID FACTURE;CODE FOURNISSEUR;NOM FOURNISSEUR;NUM FACTURE;DATE FACTURE;ENTITE FACTURE;ID ENGAGEMENT;MONTANT TTC;DATE INSERTION;STATUT
17-167-506_51620801-37;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;48;15/06/2017;G09;ADIMEX;5908,98;20/06/2017;Correction
17-167-506_51620801-53;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;2017060033;01/06/2017;G09;ADLACG;726,54;20/06/2017;Correction
17-167-506_51620801-89;F22180;NOVETHIC;201706;08/06/2017;G09;ABILLM;1008;20/06/2017;Correction
17-170-506_51668801-89;F02259;BECKER PUBLICITE;32464;31/12/2016;G09;ADIMEX;1132,31;21/06/2017;Correction
17-170-506_51667801-258;F33354;SARL HOTEL AKENA;1701005136;07/06/2017;G09;ABILLM;241,50;21/06/2017;Correction
17-170-506_51667301-114;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;FAC0007;19/06/2017;G04;ADFORF;1240;21/06/2017;Correction
17-170-506_51667301-118;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;601;01/06/2017;G04;ADCOLY;600;21/06/2017;Correction
17-170-506_51667301-39;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;11259;15/06/2017;G04;ADIMEX;147,60;21/06/2017;Correction
17-170-506_51667301-41;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;629;18/10/2016;G04;ABILLM;147,60;21/06/2017;Correction
17-170-506_51667301-43;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;11260;15/06/2017;G04;ADIMEX;202,80;21/06/2017;Correction
17-170-506_51667301-45;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;630;15/06/2017;G04;ABILLM;202,80;21/06/2017;Correction
17-170-506_51667301-83;F13456;EY ACTUAIRES CONSEILS;FR00900006819;24/05/2017;G04;ABILLM;103200;21/06/2017;Correction
17-170-506_51667401-14;F15837;BIP GO ECHANGEUR SENLIS;FB0022534145;19/06/2017;G09;ABILLM;131,80;21/06/2017;Correction
17-170-506_51667501-38;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;602;01/06/2017;G09;ADCOLY;1000;21/06/2017;Correction
17-170-506_51667801-39;F28505;NEOSOFT SERVICES;4H42325;31/05/2017;G09;ADSINF;5754,24;21/06/2017;Correction
17-170-506_51667801-41;F28505;NEOSOFT SERVICES;4H42289;24/05/2017;G09;ADSINF;10264,32;21/06/2017;Correction
17-170-506_51667801-57;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;F17050019;09/05/2017;G09;ADFORM;5140,40;21/06/2017;Correction
17-170-506_51667801-63;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;F17050018;09/05/2017;G09;ADFORM;7800;21/06/2017;Correction
17-170-506_51667801-67;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;F17060068;06/06/2017;G09;ADFORM;1560;21/06/2017;Correction
17-170-506_51667801-69;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;F17060070;06/06/2017;G09;ADFORM;1560;21/06/2017;Correction
17-170-506_51667801-71;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;F17060081;08/06/2017;G09;ADFORM;1000;21/06/2017;Correction
17-170-506_51667801-75;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;F17060080;07/06/2017;G09;ADFORM;2029,50;21/06/2017;Correction
17-170-506_51667801-79;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;F17060082;08/06/2017;G09;ADFORM;1560;21/06/2017;Correction
17-170-506_51667801-209;F30876;FINELEC IDF;FIN1706017;14/06/2017;G09;ADIMEX;1154,40;21/06/2017;Correction
17-170-506_51667801-211;F30876;FINELEC IDF;FIN1706015;14/06/2017;G09;ADIMEX;15380,64;21/06/2017;Correction
17-170-506_51667801-213;F30876;FINELEC IDF;FIN1706016;14/06/2017;G09;ADIMEX;4238,10;21/06/2017;Correction
17-170-506_51668801-178;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;FD2556;15/06/2017;G09;ADFORF;217,80;21/06/2017;Correction
17-170-506_51668801-55;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;9;16/06/2017;G09;ADSINF;436;21/06/2017;Correction
17-170-506_51668801-75;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;10499;15/06/2017;G09;ADIMEX;762,29;21/06/2017;Correction
17-170-506_51668801-83;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;21;21/06/2017;G09;ABILLM;70;21/06/2017;Correction
17-170-506_51668801-87;F02259;BECKER PUBLICITE;32471;31/12/2016;G09;ADIMEX;737,99;21/06/2017;Correction
17-170-506_51668801-49;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;15JUIN2017;15/06/2017;G09;ADIMEX;6377,69;21/06/2017;Correction
17-170-506_51668801-105;FBILLM;FOURNISSEUR NON RECONNU AU SCAN;1;15/06/2017;G09;ADIMEX;450;21/06/2017;Correction
